,address,lon,lat,full_address_google,eircode,useful_address
981,"Constructive Attic Conversions Ltd, County Dublin 6W, Ireland",-6.427023,53.3444142,"11 Moy Glas Lawn, Balgaddy, Lucan, Co. Dublin, K78 HH21, Ireland",K78 HH21,True
982,"Colm Faughey T/A Shean Mechanical Contracts, County Armagh, Ireland",-6.6523119,54.3500658,"Armagh, UK",,False
983,"OCO Heat Services, County Sligo, Ireland",-8.3697564,54.11216659999999,"Knocknacross, Riverstown, Co. Sligo, Ireland",,True
984,"The All Plastering Company Ltd, County Dublin 3, Ireland",-6.247555699999999,53.3615369,"3B St James's Ave, Drumcondra, Dublin, D03 DH94, Ireland",D03 DH94,True
985,"Michael O Reilly Plastering & Wall Insulation, County Wicklow, Ireland",-6.367254300000001,52.9862313,"Wicklow, Co. Wicklow, Ireland",,False
986,"EPK, County Co Dublin, Ireland",-6.310565599999999,53.3302033,"Co. Dublin, Ireland",,False
987,"Mark Whelan Building Services Ltd, County Wicklow, Ireland",-6.367254300000001,52.9862313,"Wicklow, Co. Wicklow, Ireland",,False
988,"Vincent O'Dea Heating And Plumbing, County Kilkenny, Ireland",-7.218001999999999,52.5776957,"Kilkenny, Co. Kilkenny, Ireland",,False
989,"Northern Refrigeration Services Ltd, County Donegal, Ireland",-8.213634599999999,54.49823629999999,"Unit 8 Erneside Business Park, Portnason, Ballyshannon, Co. Donegal, F94 XVK5, Ireland",F94 XVK5,True
990,"Oliver Gaynor Building,Electrical & Heating Co, County Louth, Ireland",-6.4889423,53.9252324,"Louth, Co. Louth, Ireland",,False
991,"James Falvey Construction, County Cork, Ireland",-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False
992,"Cowan Heating and Plumbing LTD, County Cavan, Ireland",-7.0658914,53.86844079999999,"Doon, Virginia, Co. Cavan, Ireland",,True
993,"Seamus O'Brien & Sons Builders (Castlebar) Ltd, County Mayo, Ireland",-9.287925699999999,53.8550014,"Castlebar, Co. Mayo, Ireland",,False
994,"Niall Smith Energy Renewables Ltd., County Cavan, Ireland",-6.8060246,53.9047079,"Hall St, Lisasturrin, Kingscourt, Co. Cavan, Ireland",,True
995,"Jer Mullane T/A Mullane Builders, County Cork, Ireland",-8.6539164,52.13897619999999,"Bweeng, Mallow, Co. Cork, Ireland",,True
996,"Powell Insulations Ltd, County Co Dublin, Ireland",-6.188215899999999,53.6106948,"20 Chapel Cres, Tankardstown, Balbriggan, Co. Dublin, K32 R596, Ireland",K32 R596,True
997,"Mick O'Shea Heating & Plumbing Ltd, County Kildare, Ireland",-6.555309,53.36240799999999,"Unit 12 Block D M4 Interchange Business Park, Barrogstown, Celbridge, Co. Kildare, W23 P63F, Ireland",W23 P63F,True
998,"Eco Systems Direct Ltd, County Fermanagh, Ireland",-7.5638642,54.1502643,"Teemore Rd, Derrylin BT92 9PZ, UK",BT92 9PZ,True
999,"Corridon Heating & Plumbing Ltd, County Kerry, Ireland",-9.721019199999999,52.2653621,"76 Caheranne Village, Tralee, Co. Kerry, V92 YYP2, Ireland",V92 YYP2,True
1000,"West Cork Gas and Oil Services, County Cork, Ireland",-9.274068999999999,51.527917,"Poundlick, Skibbereen, Co. Cork, Ireland",,True
1001,"Mark Molloy, County Sligo, Ireland",-8.606453199999999,54.1553277,"Sligo, Co. Sligo, Ireland",,False
1002,"J.D Buckley Construction Ltd, County Cork, Ireland",-9.072823099999999,52.0376521,"Kilmeedy Castle, Kilmeedy East, Millstreet, Co. Cork, P51 VE81, Ireland",P51 VE81,True
1003,"D7 Heating & Plumbing Services, County Dublin 7, Ireland",-6.3275681,53.3033166,"56 Willington Cres, Templeogue, Dublin, D6W FX20, Ireland",D6W FX20,True
1004,"Enda Linnane Construction Ltd, County Co Dublin, Ireland",-6.5006651,53.3000065,"3 Peamount Rd, Cornerpark, Co. Dublin, D22 E6H7, Ireland",D22 E6H7,True
1005,"Abbey Boiler Services, County Cork, Ireland",-8.165543399999999,51.9072737,"Ashlin Rd, Castleredmond, Midleton, Co. Cork, Ireland",,True
1006,"R & K O'Connor, County Cork, Ireland",-8.3795593,51.8178464,"8 Kingswood, Carrigaline Middle, Carrigaline, Co. Cork, P43 A891, Ireland",P43 A891,True
1007,"Ryan Plumbing and Heating, County Dublin 14, Ireland",-6.2447893,53.2909674,"Dundrum, Co. Dublin, Ireland",,False
1008,"Burnwell Gas, County Meath, Ireland",-6.6564169,53.60554800000001,"Meath, Co. Meath, Ireland",,False
1009,"A.S.K. Mechanical Services, County Meath, Ireland",-6.3947848,53.515649,"22 Hunter's Ln, Ashewood, Ashbourne, Co. Meath, A84 WT38, Ireland",A84 WT38,True
1010,"AV Plumbing Ltd., County Tipperary, Ireland",-8.398341499999999,52.7150665,"Clonbealy, Newport, Co. Tipperary, V94 C5R3, Ireland",V94 C5R3,True
1011,"All Trades Response Group Limited, County Co Dublin, Ireland",-6.473579,53.2980999,"510a Grants Ave, Greenogue Business Park, Co. Dublin, Ireland",,True
1012,"Highline Heating Ltd, County Wicklow, Ireland",-6.367254300000001,52.9862313,"Wicklow, Co. Wicklow, Ireland",,False
1013,"The Gas Man, County Dublin 7, Ireland",-6.293096999999999,53.3671452,"28 Faussagh Ave, Cabra West, Dublin, D07 ET91, Ireland",D07 ET91,True
1014,"PV Generation Ltd, County Cork, Ireland",-8.3697056,51.9309653,"Unit F5 Brooklodge Industrial Estate, Corbally North, Glanmire, Co. Cork, T45 VP02, Ireland",T45 VP02,True
1015,"Brennan Construction, County Roscommon, Ireland",-8.2681621,53.7592604,"Roscommon, Co. Roscommon, Ireland",,False
1016,"Des Wynne Heating And Plumbing, County Co Dublin, Ireland",-6.3386268,53.2919657,"209 Balrothery Estate, Tallaght, Dublin, D24 PY9Y, Ireland",D24 PY9Y,True
1017,"BCG Homes LTD t/a Energy Smart Homes, County Dublin 18, Ireland",-6.3457818,53.27359680000001,"Unit T4, Oldcourt Rd, Tallaght, Co. Dublin, Ireland",,True
1018,"O'Neills Building Services, County Dublin 24, Ireland",-6.2607613,53.34390519999999,"2 Suffolk St, Dublin 2, D02 KX03, Ireland",D02 KX03,True
1019,"M.Giles Plumbing & Heating Ltd, County Cavan, Ireland",-7.2996623,53.9765424,"Cavan, Co. Cavan, Ireland",,False
1020,"Mc Menamin Building Contractors Ltd, County Donegal, Ireland",-8.1040967,54.6548993,"County Donegal, Co. Donegal, Ireland",,False
1021,"Whitemoor Plumbing Ltd, County Wexford, Ireland",-6.5839913,52.4793603,"Wexford, Co. Wexford, Ireland",,False
1022,"Damien Crowe Plumbing & Heating Ltd, County Clare, Ireland",-8.9811351,52.904532,"Clare, Co. Clare, Ireland",,False
1023,"Noel Conway, County Clare, Ireland",-8.9811351,52.904532,"Clare, Co. Clare, Ireland",,False
1024,"OG Insulation Limited, County Limerick, Ireland",-8.627488,52.661258,"Cecil St, Limerick, Ireland",,False
1025,"Thomas O Connor, County Kerry, Ireland",-9.5668632,52.15446069999999,"Kerry, Co. Kerry, Ireland",,False
1026,"Donal Dwyer Heating + Plumbing, County Cork, Ireland",-8.7285446,51.994206,"Cork, Co. Cork, Ireland",,False
1027,"Ballinderry Developments Ltd T/A Rebuild, County Westmeath, Ireland",-7.344366300000001,53.5122029,"Ballinderry, Co. Westmeath, Ireland",,False
1028,"David Cohen, County Kildare, Ireland",-6.819470799999999,53.2120434,"Kildare, Co. Kildare, Ireland",,False
